id,nom,categ,description,geometry,lat,lng
Salazie,Salazie,http://runsense.github.io/js/img/blason/Salazie.gif,"<a href=""http://www.ville-salazie.fr/index/fr/"" >http://www.ville-salazie.fr/index/fr/</a>
Cirque de l'est,
il se veut être un Haut lieu de l'artisanat local,
 et il possède le label du plus beau villages de france grace à hell-bourg.
Parsemé de rivière et de cascade,
 il est le cirque le plus pluvieux mais est encore plus beau de beau temps.","<Polygon>
            <tessellate>1</tessellate>
            <outerBoundaryIs>
                <LinearRing>
                    <coordinates>55.58745794718691,-21.00192352365469 55.58562030562642,-20.99948354256208 55.58570490458954,-20.9944521468821 55.57623783469046,-20.99245718508627 55.55423327362727,-21.00649884651792 55.53370225496727,-21.00498763013583 55.51709306296139,-21.00851722122891 55.5122425457034,-21.00205117437666 55.50646952686401,-21.00000561486248 55.5044352188876,-21.00123827908731 55.49255250853305,-21.00306912517257 55.48123324719286,-21.00741478195875 55.46659472975984,-21.00953936283485 55.4629715544901,-21.01425119577435 55.46206084177409,-21.01543788514123 55.45970159888768,-21.02014277009739 55.46212879641427,-21.02665106594256 55.45391334239415,-21.03060093866555 55.45425452435118,-21.04981537677194 55.44754435331814,-21.05699164491858 55.43890722728335,-21.06362643586235 55.4584402480809,-21.0817990905445 55.46344464158683,-21.08269460242889 55.46490076817818,-21.08579670462615 55.47957065442733,-21.09406977478277 55.47947707409487,-21.09886157422099 55.49078737967484,-21.10457476292963 55.49553389522039,-21.11042920519151 55.51154145272322,-21.09463701565163 55.51518622702056,-21.09474838898665 55.54440297139884,-21.07813468106057 55.55437142003778,-21.07158317399578 55.55978646568642,-21.07319652905112 55.56572572871399,-21.04552349813094 55.56193737683903,-21.03781837139138 55.56257688045909,-21.03007151471843 55.57333070849259,-21.02179840089207 55.58556140268847,-21.00181358268777 55.58745794718691,-21.00192352365469</coordinates>
                </LinearRing>
            </outerBoundaryIs>
        </Polygon>",-21.04525354892717,55.50619125366211
Salazie,sentier fermé,liens carte,"<a href=""http://www.onf.fr/la-reunion/sommaire/loisirs_en_foret/randonner/organiser/20071128-162349-190807/++files++/85"" >carte onf</a>",,,
