id,nom,categ,description,geometry,lat,lng
Saint-Joseph,Saint-Joseph,http://runsense.github.io/js/img/blason/Saint-Joseph.gif,"<a href=""http://saintjoseph.re/"" >http://saintjoseph.re/</a>
parsememer de coins paradisiaque tous donnant des vues différents de la richesse de l'ile, incoutournable","<Polygon>
            <tessellate>1</tessellate>
            <outerBoundaryIs>
                <LinearRing>
                    <coordinates>55.6980001090077,-21.37592498149639 55.69650663151636,-21.37308845311332 55.70024132243353,-21.36174851256224 55.69594236641461,-21.35555758841247 55.68982411706296,-21.34382305665609 55.69377037981913,-21.33121065473222 55.68945056691955,-21.31841555231272 55.68149438358096,-21.30995200475559 55.68074537352725,-21.3026246731268 55.67759124876229,-21.28755832491388 55.6797816196292,-21.28309277828992 55.67871553919862,-21.27615050543272 55.67569334716252,-21.27171818853556 55.668877769964,-21.26220951727801 55.66929767028937,-21.25657721984145 55.66461998950729,-21.24940197166443 55.65859316147835,-21.24702547519377 55.66069575490414,-21.26041179014176 55.64665412400294,-21.26160529772867 55.63501275379497,-21.25845327596925 55.63287423298006,-21.24907657963976 55.63531086992425,-21.23778562567196 55.6382835502363,-21.22245132239198 55.63487972344959,-21.21617383605322 55.63978022571808,-21.1989385469788 55.63332787639425,-21.19357371176455 55.61307756823874,-21.20900702237269 55.60456264030505,-21.22782642379462 55.60036864484928,-21.24839123631926 55.60104720758141,-21.26144164123442 55.60176027948576,-21.26777393529731 55.60396296002777,-21.28432315073873 55.60391614288859,-21.29018370884883 55.60363966980432,-21.2943492385113 55.6032711970643,-21.29924257328034 55.60106952899524,-21.30259667477302 55.5971427681056,-21.30904443614849 55.59176072838722,-21.31686168018802 55.5873742994605,-21.32568504879401 55.58546876815727,-21.33030945715749 55.58619749856405,-21.33366624011958 55.59056040545327,-21.33681858926613 55.58943103208825,-21.34855408250908 55.58917290689543,-21.35660071811256 55.58654688728727,-21.36373579716364 55.58345216317051,-21.36577157502792 55.58332043658277,-21.37137955783181 55.58841995084486,-21.37476149178684 55.59051439258644,-21.37883140017411 55.59778947358652,-21.38181504277488 55.60922890685317,-21.38791188631412 55.62626504567641,-21.38447845805961 55.63995648164406,-21.38460114010839 55.64467963366428,-21.38962986064889 55.65702880565091,-21.38544152549166 55.66307900633505,-21.38300811157249 55.67101937232279,-21.38538000488822 55.6765371700421,-21.38016940953788 55.68264335597006,-21.3754033829681 55.6980001090077,-21.37592498149639</coordinates>
                </LinearRing>
            </outerBoundaryIs>
        </Polygon>",-21.33287348927127,55.63922882080078
Saint-Joseph,meteo marinne,info_circle,"<a href=""http://www.meteolamer.re/spots.php?spot=manapany
id map_overlay_img"" >http://www.meteolamer.re/spots.php?spot=manapany
id map_overlay_img</a>","<Point>
            <coordinates>55.58836521956439,-21.37803822800082</coordinates>
        </Point>","-21,378038228","55,5883652196"
